RNA_Sample,USC ID ,stress_Group,isNORS,age_ToD,Sex_x,Freezing_duration_Time1,Cooing_frequency_Time1,Cortisol_levels_Time1,Anxious_Temperament_Time1,Freezing_T1,Cooing_T1,Cortisol_T1,AT_T2,AT_T3,Cooing_T2,Cooing_T2_resid,Cooing_T3,Cooing_T3_resid,Cortisol_T2,Cortisol_T2_resid,Cortisol_T3,Cortisol_T3_resid,Freezing_T2,Freezing_T2_resid,Freezing_T3,Freezing_T3_resid,age_T2,age_T3,Freezing_duration_Time2,Cooing_frequency_Time2,Cortisol_levels_Time2,Anxious_Temperament_Time2,Anxious_Temperament_Time1Time2_mean,AT_mean_orig,AT_mean_T1T2
6,6,1,0,2.865753425,M,0.56765106,-1.074012833,0.204546916,0.615403603,3.159833284,0,78.31,1.594004775,0.807062885,0,-0.980729491,0,-0.868260208,83.29,2.05715689,75,1.024764912,4.728567064,1.744127945,2.433613355,0.528163536,2.8,2.9,1.166680757,-0.70823015,2.596390644,1.49043385,1.052918727,1.508235632,1.104704189
7,7,1,0,3.520547945,M,-1.582578719,2.128779372,-0.183541595,-1.298299895,0,8.072587359,62.17,-1.099043281,-0.074951907,3.915780042,0.960544484,1.914854216,0.228378817,48.97,-0.885622662,55.66,-0.085599333,0,-1.450962697,2.191653532,0.089122429,3.4,3.5,-1.742373394,1.122674411,-0.7200148,-1.195020868,-1.246660382,-1.236147542,-1.198671588
8,8,0,0,2.791780822,M,-0.832789436,1.365670339,-0.293787816,-0.830749197,1.064710737,6.442049363,63,-0.576659702,-0.884736051,4.915960401,0.853618518,6.363961031,1.404102482,63.83,-0.06413822,59.8,-0.625089428,0.336472237,-0.812222368,0.405465108,-0.625016244,2.7,2.8,-1.422656295,1.189708112,0.265049629,-0.78243826,-0.806593728,-1.146072475,-0.703704449
9,9,0,0,3.153424658,M,-1.546660463,1.610187163,0.446199362,-0.903549422,0,6.91616464,66.16,-0.746383523,-1.061705623,4.795831523,1.018998968,5.163977795,1.159865725,58.52,-0.442704814,49.81,-1.012049326,0.709676483,-0.777446787,0,-1.013201818,3,3.1,-1.252623337,1.283038403,-0.231931558,-0.922531099,-0.91304026,-1.355819283,-0.824966472
10,10,1,0,3.936986301,M,0.94600094,-0.325175463,-0.560135557,0.237013615,4.142075965,0,48.63,0.251377359,0.074601544,0,-0.27429019,0,-0.21294471,60.36,0.22479582,59.29,0.360846211,3.280911216,0.255046067,1.78339122,-0.349986287,3.8,3.9,0.136087775,-0.238708111,0.300477718,0.225091202,0.231052408,0.281496259,0.244195487
11,11,1,0,3.471232877,M,0.179488669,-0.605989477,-0.409388617,0.125363176,2.807392644,0,53.51,0.263425695,-0.00950183,0,-0.62750984,0,-0.475070909,55.76,-0.319366242,59.39,0.092727086,3.136942442,0.482133485,1.035554153,-0.596303484,3.3,3.5,0.136390978,-0.473469131,-0.095344053,0.171505352,0.148434264,0.189643521,0.194394435
12,12,0,0,3.287671233,M,1.157106929,-0.725803456,0.244859781,0.709256722,4.256321678,0,90.36,0.680902661,-0.53961455,1.527525232,-0.176863874,5.859465277,1.546426331,76.03,1.092741324,63.57,0.010907138,3.414990704,0.773102783,1.734601055,-0.083324458,3.1,3.3,0.335695051,0.036957867,1.324298282,0.541011822,0.625134272,0.425272416,0.695079691
13,13,0,0,2.375342466,M,-0.046702761,1.0377908,-1.818204188,-0.967565916,2.193513998,5.986094999,46.37,-0.945204805,-0.743518362,4.358898944,0.284531061,3.807886553,0.202964908,47.29,-1.851161618,53.14,-1.459043857,0,-0.699921737,0.168335315,-0.568546322,2.2,2.4,-1.536594126,0.734558109,-1.504692424,-1.258614886,-1.113090401,-1.328144542,-0.956385361
14,14,1,0,2.564383562,M,-0.253747026,-1.111454701,-1.884939711,-0.342410678,1.869234781,0,63.41,0.100938873,-0.176721646,0,-1.263305211,0,-1.064854857,53.69,-1.292862743,57.01,-0.828141684,1.94113687,0.332374152,0,-0.766878113,2.4,2.6,-0.418924476,-0.896038966,-1.014437148,-0.179107553,-0.260759116,-0.209096726,-0.120735903
15,15,1,0,2.569863014,M,-1.469692771,1.047780912,-1.636785543,-1.384753075,0,5.972157622,35.49,-1.408225544,-0.9404369,6.91616464,1.416789177,5.477225575,0.947284133,42.1,-1.982792226,54.97,-1.107148454,0,-0.82509523,0,-0.766878113,2.4,2.6,-1.57089067,1.840187849,-1.605139221,-1.67207258,-1.528412828,-1.86670776,-1.39648931
16,16,0,0,3.561643836,M,-0.570795824,-0.425744105,8.02E-15,-0.048350573,1.473999942,1.414213562,70.82,0.416963992,-0.266698926,0,-0.55686591,0,-0.409539359,62.55,-0.004102171,41.96,-1.296184549,3.604138226,0.698128235,2.270406195,0.086548411,3.4,3.6,0.396499687,-0.426516927,0.077302864,0.300106493,0.12587796,0.050957246,0.184306709
17,17,0,0,3.654794521,M,-0.392454186,0.88784633,0.364269054,-0.305343821,1.876917278,4.415880433,71.03,-1.30023032,-1.102526713,5.686240703,1.717262551,5.212165257,1.505225843,55.84,-0.669878967,54.42,-0.542828775,0,-1.513549443,0,-1.259525522,3.5,3.6,-1.759521666,1.870070024,-0.693292933,-1.440961541,-0.873152681,-1.354050427,-0.802787071
18,18,1,0,3.515068493,M,0.635567619,-0.624710411,0.011661555,0.423979862,3.503051758,0,73.56,0.805735163,0.707928392,0,-0.55686591,0,-0.475070909,65.46,0.642327813,61.3,0.148157341,4.476010177,1.218011766,4.572302582,1.500556928,3.4,3.5,0.913911432,-0.426516927,0.906281641,0.748903333,0.586441597,0.968821709,0.614857512
19,19,1,0,4.191780822,M,0.786471042,-0.396315013,1.505643567,0.896143207,3.85756682,0,80.86,0.476425274,0.393408645,1.08012345,0.285558093,0.912870929,0.319006438,84.21,2.342518174,69.17,1.426183552,2.01044867,-0.627684258,2.746201967,0.073048821,4,4.2,-0.652163798,0.282523132,2.429027448,0.498113506,0.697128357,0.882988563,0.686284241
20,20,0,0,4.273972603,M,1.708337424,-0.235314979,-0.1917265,0.583975301,5.369086437,0,50.45,0.714016138,0.726964307,0,-0.0623584,0,0.04918149,66.25,0.61117069,54.64,0.473689544,5.630853295,1.468519325,5.66855821,1.756384867,4.1,4.3,1.479214292,-0.0978515,0.515614796,0.697560196,0.640767748,1.012477873,0.64899572
21,21,0,0,3.663013699,M,-0.034924096,-0.380060019,1.094298728,0.47981155,2.376454942,1.154700538,91.87,-0.319233839,-0.070497416,0.577350269,-0.333135953,0.577350269,-0.131909737,54.13,-0.533443307,67.83,0.965388278,1.16315081,-0.757394165,0,-1.308790263,3.4,3.7,-1.052102433,-0.198101126,-0.392277115,-0.415426141,0.032192705,0.045040147,0.080288855
22,22,1,0,2.498630137,M,-0.728680909,-1.137664009,1.707257647,0.705413583,1.120591195,0,112.8,0.731948782,0.326433497,0,-1.333949141,0,-1.130386407,81.64,1.268421999,71.16,0.263670169,0.59700332,-0.406524794,0.510825624,-0.414756087,2.3,2.5,-1.199451233,-0.94299117,1.746523519,0.496687819,0.601050701,0.88189793,0.718681182
23,23,1,0,2.24109589,M,-1.274143896,2.037175739,-0.556838152,-1.289385929,0.223143551,9.156054463,76.01,-1.040278715,-0.140656659,7.427426652,1.402977374,5.385164807,0.651338063,51.34,-1.244563547,60.82,-1.038789348,0.27510329,-0.473295225,3.100092289,1.268157434,2.1,2.2,-1.356186016,1.901600689,-0.727025437,-1.328270714,-1.308828321,-1.235160651,-1.164832322
24,24,0,0,2.443835616,M,1.516580405,-1.14889657,-0.473209583,0.730755797,4.588193562,0,72.9,1.140764204,0.69723674,0,-1.333949141,0,-1.195917957,64.16,-0.092354581,62.28,-0.874723547,4.935911748,2.180698052,4.113602379,1.770515809,2.3,2.4,1.375470663,-0.94299117,0.395006859,0.904489564,0.817622681,1.28437837,0.935760001
